patch,variant,model,judge,ASR,NRR,n
code-faithful retrain,sb315,Qwen2-VL(WB),v1,74.9,83.8,315
code-faithful retrain,sb315,Qwen2-VL(WB),v3,73.0,83.8,315
code-faithful retrain,sb315,Qwen2.5-VL,v1,27.6,54.9,315
code-faithful retrain,sb315,Qwen2.5-VL,v3,27.0,54.9,315
code-faithful retrain,sb315,Qwen-VL-Chat,v1,60.3,80.3,315
code-faithful retrain,sb315,Qwen-VL-Chat,v3,60.3,80.3,315
code-faithful retrain,sb315,LLaVA-1.6,v1,85.4,94.0,315
code-faithful retrain,sb315,LLaVA-1.6,v3,85.4,94.0,315
code-faithful retrain,sb315,Kimi-VL,v1,65.1,99.4,315
code-faithful retrain,sb315,Kimi-VL,v3,65.1,99.4,315
code-faithful retrain,sb315,GLM-4.1V,v1,59.4,90.8,315
code-faithful retrain,sb315,GLM-4.1V,v3,30.2,90.8,315
code-faithful retrain,sb350,Qwen2-VL(WB),v1,72.9,82.3,350
code-faithful retrain,sb350,Qwen2-VL(WB),v3,71.1,82.3,350
code-faithful retrain,sb350,Qwen2.5-VL,v1,25.4,56.3,350
code-faithful retrain,sb350,Qwen2.5-VL,v3,24.3,56.3,350
code-faithful retrain,sb350,Qwen-VL-Chat,v1,58.3,77.7,350
code-faithful retrain,sb350,Qwen-VL-Chat,v3,58.3,77.7,350
code-faithful retrain,sb350,LLaVA-1.6,v1,84.6,93.4,350
code-faithful retrain,sb350,LLaVA-1.6,v3,84.6,93.4,350
code-faithful retrain,sb350,Kimi-VL,v1,59.4,99.1,350
code-faithful retrain,sb350,Kimi-VL,v3,59.4,99.1,350
code-faithful retrain,sb350,GLM-4.1V,v1,58.3,90.9,350
code-faithful retrain,sb350,GLM-4.1V,v3,29.1,90.9,350
code-faithful retrain,abraw,Qwen2-VL(WB),v1,7.1,10.4,520
code-faithful retrain,abraw,Qwen2-VL(WB),v3,6.3,10.4,520
code-faithful retrain,abraw,Qwen2.5-VL,v1,4.6,12.3,520
code-faithful retrain,abraw,Qwen2.5-VL,v3,4.4,12.3,520
code-faithful retrain,abraw,Qwen-VL-Chat,v1,14.0,26.2,520
code-faithful retrain,abraw,Qwen-VL-Chat,v3,14.0,26.2,520
code-faithful retrain,abraw,LLaVA-1.6,v1,66.3,79.2,520
code-faithful retrain,abraw,LLaVA-1.6,v3,66.3,79.2,520
code-faithful retrain,abraw,Kimi-VL,v1,29.4,61.5,520
code-faithful retrain,abraw,Kimi-VL,v3,29.4,61.5,520
code-faithful retrain,abraw,GLM-4.1V,v1,13.5,41.0,520
code-faithful retrain,abraw,GLM-4.1V,v3,3.5,41.0,520
code-faithful retrain,abnorm,Qwen2-VL(WB),v1,29.6,24.6,520
code-faithful retrain,abnorm,Qwen2-VL(WB),v3,22.5,24.6,520
code-faithful retrain,abnorm,Qwen2.5-VL,v1,4.0,15.8,520
code-faithful retrain,abnorm,Qwen2.5-VL,v3,2.1,15.8,520
code-faithful retrain,abnorm,Qwen-VL-Chat,v1,38.8,42.1,520
code-faithful retrain,abnorm,Qwen-VL-Chat,v3,38.8,42.1,520
code-faithful retrain,abnorm,LLaVA-1.6,v1,89.6,92.9,520
code-faithful retrain,abnorm,LLaVA-1.6,v3,89.6,92.9,520
code-faithful retrain,abnorm,Kimi-VL,v1,27.5,84.2,520
code-faithful retrain,abnorm,Kimi-VL,v3,27.5,84.2,520
code-faithful retrain,abnorm,GLM-4.1V,v1,22.3,64.4,520
code-faithful retrain,abnorm,GLM-4.1V,v3,6.3,64.4,520
paper-faithful retrain,sb315,Qwen2-VL(WB),v1,66.0,83.8,315
paper-faithful retrain,sb315,Qwen2-VL(WB),v3,64.1,83.8,315
paper-faithful retrain,sb315,Qwen2.5-VL,v1,28.9,67.0,315
paper-faithful retrain,sb315,Qwen2.5-VL,v3,26.0,67.0,315
paper-faithful retrain,sb315,Qwen-VL-Chat,v1,68.9,93.7,315
paper-faithful retrain,sb315,Qwen-VL-Chat,v3,68.9,93.7,315
paper-faithful retrain,sb315,LLaVA-1.6,v1,87.6,94.9,315
paper-faithful retrain,sb315,LLaVA-1.6,v3,87.6,94.9,315
paper-faithful retrain,sb315,Kimi-VL,v1,61.0,98.7,315
paper-faithful retrain,sb315,Kimi-VL,v3,61.0,98.7,315
paper-faithful retrain,sb315,GLM-4.1V,v1,59.4,88.9,315
paper-faithful retrain,sb315,GLM-4.1V,v3,29.8,88.9,315
paper-faithful retrain,sb350,Qwen2-VL(WB),v1,63.7,82.6,350
